property_id,lat,lng,addr_street,Suburb,price,property_type,year,bedrooms,bathrooms,parking_space,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermaket
28179,-37.8019065,144.9823815,209 Moor Street,FITZROY,13260000,house,2013,2,1,0,SC_008,1562.7,19976,1041.52,10.31,0,hospital_178,731.14,S_060,90.75
53168,-37.817087,145.007556,370 Highett Street,RICHMOND,13860000,house,2015,3,2,1,SC_083,2493.66,19906,1165.85,12.75,0,hospital_122,473.92,S_076,1343.19
733,-37.807125,144.89795800000002,260 Nicholson Street,SEDDON,8680000,house,2014,3,1,0,SC_011,3185.14,19997,290.24,14.3,0,hospital_003,1830.96,S_201,710.0
15698,-37.739682,144.888307,33 Jackson Street,NIDDRIE,15424000,house,2015,3,1,1,SC_082,1646.97,20036,2992.14,23.85,0,hospital_184,1504.46,S_198,1526.46
15170,-37.741094,144.908723,262 Woodland Street,STRATHMORE,11700000,house,2015,3,3,3,SC_082,838.53,20036,1272.68,23.85,0,hospital_184,348.14,S_197,411.5
71118,-37.858261999999996,145.221236,13 Quixley Grove,WANTIRNA,10780000,house,2014,4,2,2,SC_032,5109.57,19871,3912.77,46.0,0,hospital_008,1094.42,S_227,958.81
14841,-37.762564000000005,144.893126,86 Clifton Street,ABERFELDIE,15000000,house,2011,4,2,2,SC_085,1255.81,20037,2157.47,20.86,0,hospital_068,1720.43,S_049,1232.49
54506,-37.827815,145.037598,41 Henrietta Street,HAWTHORN,20400000,house,2013,5,2,2,SC_083,836.71,19904,713.97,20.74,0,hospital_127,406.17,S_208,893.83
90017,-37.963121,145.06777,14 Evergreen Circuit,CHELTENHAM,7100000,house,2010,3,2,2,SC_003,2070.63,19866,1224.24,37.94,0,hospital_109,618.4,S_023,1125.2
69320,-37.844971,145.037464,82 Elizabeth Street,MALVERN,3768000,house,2016,4,2,2,SC_038,2613.97,19911,616.58,15.0,0,hospital_168,1540.98,S_235,1852.92
78644,-37.93772,145.156954,15 Gray Street,SPRINGVALE,9537000,house,2010,5,3,3,SC_073,4329.79,19913,1347.83,44.26,0,hospital_076,3654.64,S_075,1816.09
82795,-37.904165,145.27342,47 Victoria Knox Avenue,ROWVILLE,9735000,house,2014,5,2,3,SC_049,3245.12,19868,3151.64,55.14,0,hospital_150,3551.16,S_199,2222.98
86677,-37.896128999999995,144.989458,383 St Kilda Street,BRIGHTON,17930000,house,2012,3,2,2,SC_015,3149.78,19953,1293.74,19.08,0,hospital_198,1653.97,S_193,1773.26
13285,-37.705099,144.748603,57 Timele Drive,HILLSIDE,4440000,house,2013,3,2,2,SC_048,3163.85,20000,2295.63,39.0,0,hospital_057,8466.23,S_163,1274.61
21783,-37.745994,144.955314,105 Shaftsbury Street,COBURG,21760000,house,2016,4,2,1,SC_030,1580.05,19965,814.65,28.0,0,hospital_084,941.75,S_172,997.31
50981,-37.793741,145.124988,2 Morrison Crescent,DONCASTER,5760000,house,2011,4,2,2,SC_091,746.15,20042,2853.65,30.56,0,hospital_117,2206.88,S_188,755.41
69328,-37.84409714,145.03718569999998,86a Elizabeth Street,KOOYONG,12645000,house,2009,3,2,2,SC_038,2573.33,19910,563.33,13.0,0,hospital_168,1575.34,S_235,1932.92
32847,-37.752109000000004,145.007711,48A Carlisle Street,PRESTON,9204000,house,2014,3,1,2,SC_103,1483.6,20014,868.54,23.73,0,hospital_035,1202.51,S_105,377.24
63946,-37.802676,145.293149,22 Bennison Street,CROYDON,6030000,house,2014,3,2,2,SC_022,971.75,19878,1366.81,51.25,0,hospital_164,3351.33,S_055,933.89
27439,-37.60629,144.922819,6 Swansea Court,CRAIGIEBURN,6032000,house,2016,3,2,2,SC_016,1690.63,40221,1875.34,45.89,0,hospital_104,4947.79,S_005,1676.97
1238,-37.806196,144.892352,6 Bourke Street,SEDDON,7275000,house,2012,2,1,1,SC_043,3050.83,20024,418.13,17.75,0,hospital_056,1551.78,S_201,784.58
23989,-37.693918,144.965204,14 Birchwood Street,FAWKNER,4280000,house,2016,3,2,2,SC_030,4485.43,19961,936.53,35.0,0,hospital_139,3911.96,S_161,782.09
46172,-37.718014000000004,145.124294,6 McFarlane Street,MONTMORENCY,23360000,house,2010,4,2,2,SC_051,5840.41,19986,389.07,40.86,0,hospital_075,2165.69,S_210,2532.58
70150,-37.86830139,145.1063843,5 Harcourt Street,ASHWOOD,6180000,house,2008,2,1,0,SC_042,1649.92,19840,774.43,28.0,0,hospital_089,1618.96,S_112,1128.66
35566,-37.72437668,145.01530459999998,77 Oakhill Avenue,RESERVOIR,6180000,house,2009,3,1,1,SC_047,2058.29,20010,1109.39,32.9,0,hospital_139,1697.15,S_225,1183.56
8927,-37.863085,144.768877,17 Goble Street,LAVERTON,3982000,house,2014,3,1,2,SC_092,4850.72,19923,335.57,31.0,0,hospital_073,7994.48,S_007,2339.18
51936,-37.797955,145.174462,42 Roy Street,DONVALE,9100000,house,2014,3,1,1,SC_002,2398.87,19899,2521.41,36.9,0,hospital_034,852.54,S_202,2893.37
5119,-37.864665,144.838042,3 Chifley Avenue,ALTONA,9144000,house,2016,3,1,2,SC_033,4298.0,19927,436.75,28.0,0,hospital_141,4710.06,S_128,798.3
96461,-38.002109000000004,145.282719,12 George Chudleigh Drive,HALLAM,3685000,house,2013,4,1,0,SC_077,3038.0,19885,2077.56,59.29,0,hospital_069,3676.71,S_212,1524.68
94621,-37.927738,145.033243,11 Coates Street,BENTLEIGH,10114000,house,2012,3,1,1,SC_046,1383.76,19938,348.26,40.75,0,hospital_110,668.83,S_107,1200.0
12975,-37.70449829,144.7736054,31/346 Sydenham Road,SYDENHAM,4471000,house,2009,3,2,2,SC_107,3911.2,20000,378.49,39.0,0,hospital_057,7198.03,S_094,336.45
71474,-37.852805,145.236122,36 Burlington Crescent,WANTIRNA,9826000,house,2014,3,2,2,SC_032,4504.51,19871,2824.38,46.0,0,hospital_179,842.88,S_227,2086.53
34503,-37.713978999999995,145.00313300000002,28 Compton Street,RESERVOIR,5775000,house,2013,3,1,0,SC_103,2852.18,20010,469.41,32.9,0,hospital_139,599.37,S_030,2447.99
78155,-37.927622,145.197136,5 Page Court,MULGRAVE,12964000,house,2012,5,2,3,SC_073,2572.73,19891,4405.6,46.28,0,hospital_161,1860.71,S_067,1203.17
35497,-37.714002,145.00100700000002,7/19 Daventry Street,RESERVOIR,5475000,house,2015,2,1,1,SC_103,2848.92,20010,617.34,32.9,0,hospital_139,474.3,S_030,2318.12
18733,-37.674149,144.922084,34 Tatura Crescent,BROADMEADOWS,2920000,house,2014,4,2,3,SC_072,2604.07,20030,1014.38,36.83,0,hospital_104,2614.74,S_153,440.36
86217,-37.891542,145.00071200000002,164 Cochrane Street,BRIGHTON,20240000,house,2010,4,3,2,SC_015,3091.83,19953,649.03,19.08,0,hospital_116,1011.92,S_193,686.62
21135,-37.759259,144.951617,367 Albion Street,BRUNSWICK,11568000,house,2012,3,1,1,SC_030,2992.08,19967,827.92,23.0,0,hospital_011,783.24,S_074,1386.54
64642,-37.810818,145.283076,53 Jesmond Road,CROYDON,5980000,house,2013,4,2,2,SC_022,1306.08,19878,1725.99,51.25,0,hospital_164,2440.98,S_055,1185.89
75315,-37.892169,145.060954,57 Tranmere Avenue,CARNEGIE,11505000,house,2010,4,1,2,SC_041,849.88,19919,605.22,30.24,0,hospital_108,2790.2,S_015,639.34
4181,-37.840839,144.879004,17 William Street,NEWPORT,4810000,house,2008,4,1,2,SC_033,3244.05,19994,454.93,20.47,0,hospital_141,2641.18,S_056,2925.93
83505,-37.849742,145.000957,13a Mackay Street,PRAHRAN,13310000,house,2010,3,2,1,SC_066,703.65,19947,582.79,20.7,0,hospital_097,397.07,S_115,423.37
27072,-37.581769,144.925367,5 Bristow Lane,CRAIGIEBURN,3780000,house,2015,3,2,2,SC_005,911.01,40221,2736.44,45.89,0,hospital_104,7685.27,S_178,1560.01
81913,-37.990078999999994,145.24923,2 Torana Court,DOVETON,5728000,house,2015,3,1,2,SC_077,1683.74,19888,3465.8,54.44,0,hospital_119,2711.84,S_195,1571.23
32263,-37.750498,144.98424,206 Miller Street,PRESTON,10725000,house,2013,4,3,2,SC_103,1976.4,20014,1359.42,23.73,0,hospital_144,1281.63,S_105,1707.92
17400,-37.702087,144.93592900000002,52 Maude Avenue,GLENROY,4550000,house,2011,4,2,0,SC_030,3599.08,20032,1670.12,32.83,0,hospital_184,5236.32,S_004,602.66
38147,-37.770534000000005,145.01990700000002,243 Station Street,FAIRFIELD,6171000,house,2013,3,1,0,SC_001,1947.53,19930,997.09,18.92,0,hospital_039,1245.5,S_219,1936.18
62749,-37.822173,145.244235,23 Tagell Road,HEATHMONT,13345000,house,2016,4,1,3,SC_032,1714.07,19871,685.1,46.0,0,hospital_105,1232.61,S_190,1695.82
81832,-37.987177,145.247921,16 Louis Street,DOVETON,2840000,house,2014,3,1,0,SC_077,2005.1,19888,3365.38,54.44,0,hospital_119,2550.68,S_195,1367.8
9787,-37.8916724,144.64160869999998,264 Greaves Street North,WERRIBEE,4760000,house,2013,3,1,1,SC_012,3358.86,19921,1916.45,39.75,0,hospital_073,3704.33,S_236,2954.08
3402,-37.815394,144.887336,34 Fehon Street,YARRAVILLE,9449000,house,2014,3,1,0,SC_043,3318.81,19996,234.02,15.3,0,hospital_056,2480.17,S_201,1881.4
31497,-37.758903000000004,144.991937,83 Normanby Avenue,THORNBURY,6552000,house,2012,3,2,1,SC_103,2324.12,20014,724.38,23.73,0,hospital_035,1469.43,S_105,1348.87
19674,-37.678909999999995,144.890119,27 Coopers Hill Drive,WESTMEADOWS,11594000,house,2015,5,3,2,SC_059,1131.24,20030,2638.96,36.83,0,hospital_104,4122.04,S_153,2779.45
79430,-37.938487,145.167662,9 McWilliam Street,SPRINGVALE,7735000,house,2014,3,1,2,SC_073,3930.39,19913,1749.7,44.26,0,hospital_124,3785.93,S_067,1849.21
68689,-37.85463333,145.0238495,9 Huntingtower Road & 6 Mindanao Court,ARMADALE,17280000,house,2009,3,1,2,SC_038,2080.73,19945,446.21,23.7,0,hospital_092,1106.93,S_235,762.19
57790,-37.830181,145.146074,2/18 Baldwin Road,BLACKBURN,10080000,house,2015,2,1,2,SC_037,2420.88,19897,1148.1,36.25,0,hospital_060,932.53,S_018,176.01
70438,-37.88684464,145.1045532,1/22-24 Adrian Street,CHADSTONE,13320000,house,2009,4,2,2,SC_042,1559.88,19840,1615.9,28.0,0,hospital_166,1387.56,S_026,1768.16
1648,-37.81064606,144.8802948,104 Coronation Street,KINGSVILLE,6150000,house,2006,2,1,0,SC_043,2511.25,19996,1026.73,15.3,0,hospital_056,2017.52,S_201,1908.36
69390,-37.864585999999996,145.107893,1/21 Lavidge Road,ASHWOOD,6600000,house,2014,4,1,1,SC_042,2022.39,19840,1069.41,28.0,0,hospital_089,1446.77,S_112,1259.17
20896,-37.768184999999995,144.9665,26 Thomas Street,BRUNSWICK,8630000,house,2016,2,1,0,SC_030,4235.57,19968,610.55,21.0,0,hospital_144,1383.87,S_074,599.24
58815,-37.807123,145.183946,29 Lemon Grove,NUNAWADING,8489000,house,2010,3,1,2,SC_088,1411.61,19900,1402.52,39.9,0,hospital_070,918.58,S_202,1988.36
91950,-37.978322,145.064558,104 Patty Street,MENTONE,18460000,house,2015,5,3,2,SC_003,2294.62,19865,398.03,40.35,0,hospital_133,382.97,S_011,406.19
55292,-37.847738,145.092083,21 Outlook Drive,CAMBERWELL,14800000,house,2014,5,3,3,SC_042,3295.82,19849,1102.69,34.0,0,hospital_089,1093.5,S_112,2087.19
39085,-37.763953,145.034988,96 Ford Street,IVANHOE,3245000,house,2016,3,1,2,SC_001,743.5,19933,1070.7,23.27,0,hospital_039,376.14,S_219,761.41
4634,-37.844111,144.873208,70 Challis Street,NEWPORT,7579000,house,2010,3,2,2,SC_033,3029.09,19994,926.59,20.47,0,hospital_141,2597.0,S_056,2545.26
19353,-37.655543,144.930305,19 Moyne Crescent,COOLAROO,3150000,house,2011,4,1,1,SC_072,890.12,44817,713.85,39.9,0,hospital_104,1024.9,S_153,2623.18
39309,-37.695571,145.077826,1 Rhonda Court,BUNDOORA,7200000,house,2011,3,2,2,SC_062,4932.63,19984,1791.65,34.64,0,hospital_041,1388.39,S_155,2052.62
55176,-37.845223,145.086128,19 Callanish Road,CAMBERWELL,3450000,house,2016,3,2,2,SC_099,3391.4,19849,861.33,34.0,0,hospital_089,1530.55,S_160,1750.33
8830,-37.887299,144.760372,12 William Mcpherson Crescent,SEABROOK,6075000,house,2012,3,2,1,SC_092,2859.32,46468,2248.63,32.78,0,hospital_073,7167.34,S_001,2234.67
20500,-37.775507,144.950843,13B Heller Street,BRUNSWICK,11340000,house,2016,2,2,1,SC_011,3147.61,19970,645.81,18.0,0,hospital_102,741.34,S_138,1015.42
58818,-37.813032,145.172293,290 Springfield Road,NUNAWADING,5850000,house,2009,4,2,3,SC_002,709.77,19899,873.23,36.9,0,hospital_070,1925.45,S_202,1259.18
66255,-37.764444,145.318873,33 Savanna Drive,MOOROOLBARK,8840000,house,2014,4,2,2,SC_084,824.5,19877,2330.88,55.25,0,hospital_113,3172.54,S_168,600.74
63378,-37.78092194,145.30343630000002,11 Bambra Street,CROYDON,5950000,house,2009,4,1,0,SC_084,2697.97,19877,896.5,55.25,0,hospital_113,4986.37,S_224,2438.98
36872,-37.636924,145.03871999999998,15 Charteris Grove,EPPING,5100000,house,2011,4,2,2,SC_062,4438.54,20005,1880.77,44.0,0,hospital_053,2549.29,S_196,2534.53
68699,-37.84588623,145.03746030000002,1 Arthur Street,MALVERN,15130000,house,2008,3,2,2,SC_038,2634.63,19911,539.55,15.0,0,hospital_168,1537.26,S_235,1760.12
49761,-37.814056,145.069943,9 Chatfield Avenue,DEEPDENE,2405000,house,2016,4,2,2,SC_099,1551.58,19892,1326.78,26.7,0,hospital_064,1994.35,S_113,1948.68
31028,-37.7600685,145.02066440000002,259 Gooch Street,THORNBURY,10557000,house,2010,3,1,2,SC_001,2054.03,20014,2022.96,23.73,0,hospital_039,962.88,S_105,1802.94
86724,-37.915085,144.997242,40 Black Street,BRIGHTON,29250000,house,2010,3,2,1,SC_046,4517.82,19951,82.99,22.08,0,hospital_156,620.99,S_009,133.12
28190,-37.802683,144.976848,224 Fitzroy Street,FITZROY,11840000,house,2016,3,1,0,SC_008,1192.03,19843,994.1,8.05,0,hospital_129,580.12,S_200,518.36
8352,-37.72792816,144.763504,27 Menzies Drive,BURNSIDE HEIGHTS,3256000,house,2008,3,2,2,SC_048,2015.64,20001,2666.14,36.0,0,hospital_057,5769.68,S_070,2689.36
35120,-37.704683,145.027628,50 Banff Street,RESERVOIR,4400000,house,2014,3,2,2,SC_047,3777.41,20009,1634.7,33.9,0,hospital_025,1935.13,S_225,2253.7
47792,-37.81476,145.05945400000002,1183 Burke Road,KEW,10907000,house,2010,4,2,3,SC_099,1074.0,19853,1316.02,24.3,0,hospital_064,1190.51,S_113,1604.46
71730,-37.85546,145.23448100000002,64 Amesbury Avenue,WANTIRNA,7808000,house,2011,3,2,2,SC_032,4780.04,19871,3148.03,46.0,0,hospital_179,906.56,S_227,1771.72
22558,-37.738333000000004,144.980671,30 Connolly Avenue,COBURG,5400000,house,2010,3,1,1,SC_103,1878.37,19965,1589.96,28.0,0,hospital_144,2165.79,S_030,1004.94
19780,-37.670842,144.892398,55 Alanbrae Terrace,ATTWOOD,8400000,house,2010,4,2,2,SC_059,2041.98,20030,2756.06,36.83,0,hospital_104,3335.46,S_153,2700.64
93212,-37.991303,145.087478,31 Victoria Street,PARKDALE,7362000,house,2014,3,1,0,SC_003,2249.8,19864,998.05,42.35,0,hospital_001,1286.78,S_003,1210.51
29956,-37.770916,144.996836,34 Claude Street,NORTHCOTE,12206000,house,2010,2,1,0,SC_103,3516.71,20016,180.25,20.67,0,hospital_035,1316.33,S_105,2288.64
84609,-37.876639000000004,144.985494,12 Gordon Avenue,ELWOOD,19050000,house,2010,4,2,1,SC_015,979.69,19955,859.92,15.0,0,hospital_009,1723.85,S_133,774.01
19160,-37.691765999999994,144.932875,7 Stevenson Street,BROADMEADOWS,3840000,house,2015,3,1,2,SC_059,4239.77,20030,1518.66,36.83,0,hospital_104,4701.62,S_209,1766.82
19013,-37.6920166,144.9285736,55 Graham Street,BROADMEADOWS,4020000,house,2009,3,1,1,SC_059,3865.63,20031,1173.1,34.83,0,hospital_104,4655.39,S_209,1607.87
53033,-37.816784999999996,145.00506399999998,318 Highett Street,RICHMOND,8811000,house,2012,2,1,0,SC_038,2662.61,19978,1216.88,7.31,0,hospital_122,380.07,S_076,1155.66
64236,-37.793392,145.295058,30 Lindisfarne Avenue,CROYDON,6656000,house,2011,4,1,2,SC_022,1229.59,19878,1292.19,51.25,0,hospital_164,3822.06,S_181,1270.22
29718,-37.7778193,144.99518419999998,22 George Street,NORTHCOTE,8320000,house,2013,2,1,0,SC_001,4246.47,20017,194.62,18.67,0,hospital_035,1998.86,S_200,2720.58
68746,-37.867342,145.035694,11 Hunter Street,MALVERN,16000000,house,2012,3,2,1,SC_023,1169.96,19944,575.33,20.25,0,hospital_183,524.01,S_013,891.9
58096,-37.831596999999995,145.164906,4 Ottawa Avenue,BLACKBURN,14170000,house,2011,5,3,2,SC_002,1477.94,19899,1506.18,36.9,0,hospital_060,790.67,S_066,472.5
